#{"t_start": 1754825888.5967047, "env_id": "None"}
r,l,t
-10.0,1,7.6841
-10.0,1,7.692226
-10.0,1,7.7
-10.0,1,7.711921
-10.0,1,7.719948
-10.0,1,7.727399
-10.0,1,7.735828
-10.0,1,7.746117
-10.0,1,7.753621
-10.0,1,7.761178
-10.0,1,7.769217
-10.0,1,7.779088
-10.0,1,7.78658
-10.0,1,7.79494
-10.0,1,7.802551
-10.0,1,7.815501
-10.0,1,7.823026
-10.0,1,7.831263
-10.0,1,7.838645
-10.0,1,7.848583
-10.0,1,7.856461
-10.0,1,7.865804
-10.0,1,7.873352
-10.0,1,7.883505
-10.0,1,7.891427
-10.0,1,7.899016
-10.0,1,7.906586
-10.0,1,7.918391
-10.0,1,7.925889
-10.0,1,7.933304
-10.0,1,7.941335
-10.0,1,7.951247
-10.0,1,7.95852
-10.0,1,7.965997
-10.0,1,7.974496
-10.0,1,7.98501
-10.0,1,7.992831
-10.0,1,8.000829
-10.0,1,8.00836
-10.0,1,8.018225
-10.0,1,8.027498
-10.0,1,8.035188
-10.0,1,8.042608
-10.0,1,8.052912
-10.0,1,8.060562
-10.0,1,8.068185
-10.0,1,8.075775
-10.0,1,8.08588
-10.0,1,8.093403
-10.0,1,8.101036
-10.0,1,8.108535
-10.0,1,8.119165
-10.0,1,8.128855
-10.0,1,8.136296
-10.0,1,8.143585
-10.0,1,8.154781
-10.0,1,8.162777
-10.0,1,8.17029
-10.0,1,8.177967
-10.0,1,8.188418
-10.0,1,8.196664
-10.0,1,8.204412
-10.0,1,8.212424
-10.0,1,8.22419
-10.0,1,8.234685
-10.0,1,8.242647
-10.0,1,8.249665
-10.0,1,8.259173
-10.0,1,8.266002
-10.0,1,8.272918
-10.0,1,8.279697
-10.0,1,8.288867
-10.0,1,8.295738
-10.0,1,8.3029
-10.0,1,8.310111
-10.0,1,8.320355
-10.0,1,8.327384
-10.0,1,8.335492
-10.0,1,8.342557
-10.0,1,8.352183
-10.0,1,8.359453
-10.0,1,8.367417
-10.0,1,8.375308
-10.0,1,8.385679
-10.0,1,8.394135
-10.0,1,8.402304
-10.0,1,8.410043
-10.0,1,8.420852
-10.0,1,8.42875
-10.0,1,8.43838
-10.0,1,8.446556
-10.0,1,8.457072
-10.0,1,8.466063
-10.0,1,8.474043
-10.0,1,8.482295
-10.0,1,8.493012
-10.0,1,8.501747
-10.0,1,8.509365
-10.0,1,8.51739
-10.0,1,8.528479
-10.0,1,8.539166
-10.0,1,8.5472
-10.0,1,8.555832
-10.0,1,8.565921
-10.0,1,8.574272
-10.0,1,8.582304
-10.0,1,8.590111
-10.0,1,8.601466
-10.0,1,8.609298
-10.0,1,8.618086
-10.0,1,8.625789
-10.0,1,8.636317
-10.0,1,8.645797
-10.0,1,8.653413
-10.0,1,8.661318
-10.0,1,8.672974
-10.0,1,8.680941
-10.0,1,8.689746
-10.0,1,8.698114
-10.0,1,8.709109
-10.0,1,8.717134
-10.0,1,8.725194
-10.0,1,8.734306
-10.0,1,8.749973
-10.0,1,8.760854
-10.0,1,8.76994
-10.0,1,8.778097
-10.0,1,8.788692
-10.0,1,8.79841
-10.0,1,8.806863
-10.0,1,8.816236
-10.0,1,8.826953
-10.0,1,8.835383
-10.0,1,8.843164
-10.0,1,8.851254
-10.0,1,8.863915
-10.0,1,8.871652
-10.0,1,8.878322
-10.0,1,8.885191
-10.0,1,8.895906
-10.0,1,8.903165
-10.0,1,8.910367
-10.0,1,8.91822
-10.0,1,8.928163
-10.0,1,8.936781
-10.0,1,8.944122
-10.0,1,8.953393
-10.0,1,8.965499
-10.0,1,8.974016
-10.0,1,8.981523
-10.0,1,8.989862
-10.0,1,9.002158
-10.0,1,9.010553
-10.0,1,9.018431
-10.0,1,9.02622
-10.0,1,9.038221
-10.0,1,9.046286
-10.0,1,9.054171
-10.0,1,9.06429
-10.0,1,9.074759
-10.0,1,9.082551
-10.0,1,9.090107
-10.0,1,9.097577
-10.0,1,9.1075
-10.0,1,9.115154
-10.0,1,9.122851
-10.0,1,9.130469
-10.0,1,9.140139
-10.0,1,9.147618
-10.0,1,9.15561
-10.0,1,9.163107
-10.0,1,9.173898
-10.0,1,9.180047
-10.0,1,9.186453
-10.0,1,9.193154
-10.0,1,9.201874
-10.0,1,9.208754
-10.0,1,9.215825
-10.0,1,9.224829
-10.0,1,9.234321
-10.0,1,9.241475
-10.0,1,9.24881
-10.0,1,9.256423
-10.0,1,9.266115
-10.0,1,9.275969
-10.0,1,9.284166
-10.0,1,9.291476
-10.0,1,9.300864
-10.0,1,9.308158
-10.0,1,9.317349
-10.0,1,9.324731
-10.0,1,9.33454
-10.0,1,9.342033
-10.0,1,9.349686
-10.0,1,9.357186
-10.0,1,9.366788
-10.0,1,9.37638
-10.0,1,9.384173
-10.0,1,9.391255
-10.0,1,9.401103
-10.0,1,9.408557
-10.0,1,9.416493
-10.0,1,9.424684
-10.0,1,9.434646
-10.0,1,9.442185
-10.0,1,9.449862
-10.0,1,9.457243
-10.0,1,9.467159
-10.0,1,9.474418
-10.0,1,9.48464
-10.0,1,9.492254
-10.0,1,9.501768
-10.0,1,9.508942
-10.0,1,9.516428
-10.0,1,9.524011
-10.0,1,9.533726
-10.0,1,9.540984
-10.0,1,9.548342
-10.0,1,9.556141
-10.0,1,9.565941
-10.0,1,9.573386
-10.0,1,9.580763
-10.0,1,9.589622
-10.0,1,9.599226
-10.0,1,9.606683
-10.0,1,9.614135
-10.0,1,9.62181
-10.0,1,9.631934
-10.0,1,9.639592
-10.0,1,9.64802
-10.0,1,9.65627
-10.0,1,9.666283
-10.0,1,9.673915
-10.0,1,9.681655
-10.0,1,9.691132
-10.0,1,9.701607
-10.0,1,9.709126
-10.0,1,9.716987
-10.0,1,9.724873
-10.0,1,9.737553
-10.0,1,9.745165
-10.0,1,9.753141
-10.0,1,9.760786
-10.0,1,9.770955
-10.0,1,9.778384
-10.0,1,9.785891
-10.0,1,9.795764
-10.0,1,9.806287
-10.0,1,9.813546
-10.0,1,9.821636
-10.0,1,9.829571
-10.0,1,9.840208
-10.0,1,9.847918
-10.0,1,9.855573
-10.0,1,9.863141
-10.0,1,9.872936
-10.0,1,9.880925
-10.0,1,9.888549
-10.0,1,9.897593
-10.0,1,9.906383
-10.0,1,9.91232
-10.0,1,9.918381
-10.0,1,9.924648
-10.0,1,9.933481
-10.0,1,9.939567
-10.0,1,9.946161
-10.0,1,9.952537
-10.0,1,9.961838
-10.0,1,9.968815
-10.0,1,9.975664
-10.0,1,9.982878
-10.0,1,9.994626
-10.0,1,10.001836
-10.0,1,10.010211
-10.0,1,10.017874
-10.0,1,10.027752
-10.0,1,10.03495
-10.0,1,10.042662
-10.0,1,10.049972
-10.0,1,10.060065
-10.0,1,10.06756
-10.0,1,10.075227
-10.0,1,10.082888
-10.0,1,10.092974
-10.0,1,10.101887
-10.0,1,10.109357
-10.0,1,10.116848
-10.0,1,10.127403
-10.0,1,10.134788
-10.0,1,10.1422
-10.0,1,10.149455
-10.0,1,10.158819
-10.0,1,10.166412
-10.0,1,10.174018
-10.0,1,10.181781
-10.0,1,10.191303
-10.0,1,10.199152
-10.0,1,10.20788
-10.0,1,10.215437
-10.0,1,10.224898
-10.0,1,10.232375
-10.0,1,10.239886
-10.0,1,10.247311
-10.0,1,10.258098
-10.0,1,10.265659
-10.0,1,10.272887
-10.0,1,10.280429
-10.0,1,10.290536
-10.0,1,10.297899
-10.0,1,10.305378
-10.0,1,10.315049
-10.0,1,10.326088
-10.0,1,10.333354
-10.0,1,10.340634
-10.0,1,10.347834
-10.0,1,10.358953
-10.0,1,10.366629
-10.0,1,10.374005
-10.0,1,10.381453
-10.0,1,10.39178
-10.0,1,10.39946
-10.0,1,10.406986
-10.0,1,10.41534
-10.0,1,10.425873
-10.0,1,10.43314
-10.0,1,10.440886
-10.0,1,10.448419
-10.0,1,10.459551
-10.0,1,10.467209
-10.0,1,10.474816
-10.0,1,10.483068
-10.0,1,10.494458
-10.0,1,10.502141
-10.0,1,10.509396
-10.0,1,10.520822
-10.0,1,10.531286
-10.0,1,10.53907
-10.0,1,10.548978
-10.0,1,10.556319
-10.0,1,10.565906
-10.0,1,10.573861
-10.0,1,10.581573
-10.0,1,10.589798
-10.0,1,10.601287
-10.0,1,10.609313
-10.0,1,10.617265
-10.0,1,10.626189
-10.0,1,10.636155
-10.0,1,10.643801
-10.0,1,10.651252
-10.0,1,10.658794
-10.0,1,10.669036
-10.0,1,10.676617
-10.0,1,10.683843
-10.0,1,10.691614
-10.0,1,10.703515
-10.0,1,10.710575
-10.0,1,10.717725
-10.0,1,10.726739
-10.0,1,10.736158
-10.0,1,10.743675
-10.0,1,10.751074
-10.0,1,10.758585
-10.0,1,10.768342
-10.0,1,10.775736
-10.0,1,10.782961
-10.0,1,10.790736
-10.0,1,10.800599
-10.0,1,10.8082
-10.0,1,10.81565
-10.0,1,10.824002
-10.0,1,10.835578
-10.0,1,10.843067
-10.0,1,10.85042
-10.0,1,10.85781
