Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
451,13.900000,grasp,True,0.600,0.050,0
452,13.900000,grasp,True,0.600,0.050,0
453,13.900000,grasp,True,0.600,0.050,0
454,13.900000,grasp,True,0.600,0.050,0
455,13.900000,grasp,True,0.600,0.050,0
456,13.900000,grasp,True,0.600,0.050,0
457,13.900000,grasp,True,0.600,0.050,0
458,13.900000,grasp,True,0.600,0.050,0
459,13.900000,grasp,True,0.600,0.050,0
460,13.900000,grasp,True,0.600,0.050,0
461,13.900000,grasp,True,0.600,0.050,0
462,13.900000,grasp,True,0.600,0.050,0
463,13.900000,grasp,True,0.600,0.050,0
464,13.900000,grasp,True,0.600,0.050,0
465,13.900000,grasp,True,0.600,0.050,0
466,13.900000,grasp,True,0.600,0.050,0
467,13.900000,grasp,True,0.600,0.050,0
468,13.900000,grasp,True,0.600,0.050,0
469,13.900000,grasp,True,0.600,0.050,0
470,13.900000,grasp,True,0.600,0.050,0
471,13.900000,grasp,True,0.600,0.050,0
472,13.900000,grasp,True,0.600,0.050,0
473,13.900000,grasp,True,0.600,0.050,0
474,13.900000,grasp,True,0.600,0.050,0
475,13.900000,grasp,True,0.600,0.050,0
476,13.900000,grasp,True,0.600,0.050,0
477,13.900000,grasp,True,0.600,0.050,0
478,13.900000,grasp,True,0.600,0.050,0
479,13.900000,grasp,True,0.600,0.050,0
480,13.900000,grasp,True,0.600,0.050,0
481,13.900000,grasp,True,0.600,0.050,0
482,13.900000,grasp,True,0.600,0.050,0
483,13.900000,grasp,True,0.600,0.050,0
484,13.900000,grasp,True,0.600,0.050,0
485,13.900000,grasp,True,0.600,0.050,0
486,13.900000,grasp,True,0.600,0.050,0
487,13.900000,grasp,True,0.600,0.050,0
488,13.900000,grasp,True,0.600,0.050,0
489,13.900000,grasp,True,0.600,0.050,0
490,13.900000,grasp,True,0.600,0.050,0
491,13.900000,grasp,True,0.600,0.050,0
492,13.900000,grasp,True,0.600,0.050,0
493,13.900000,grasp,True,0.600,0.050,0
494,13.900000,grasp,True,0.600,0.050,0
495,13.900000,grasp,True,0.600,0.050,0
496,13.900000,grasp,True,0.600,0.050,0
497,13.900000,grasp,True,0.600,0.050,0
498,13.900000,grasp,True,0.600,0.050,0
499,13.900000,grasp,True,0.600,0.050,0
500,13.900000,grasp,True,0.600,0.050,0
501,13.900000,grasp,True,0.600,0.050,0
502,13.900000,grasp,True,0.600,0.050,0
503,13.900000,grasp,True,0.600,0.050,0
504,13.900000,grasp,True,0.600,0.050,0
505,13.900000,grasp,True,0.600,0.050,0
506,13.900000,grasp,True,0.600,0.050,0
507,13.900000,grasp,True,0.600,0.050,0
508,13.900000,grasp,True,0.600,0.050,0
509,13.900000,grasp,True,0.600,0.050,0
510,13.900000,grasp,True,0.600,0.050,0
511,13.900000,grasp,True,0.600,0.050,0
512,13.900000,grasp,True,0.600,0.050,0
513,13.900000,grasp,True,0.600,0.050,0
514,13.900000,grasp,True,0.600,0.050,0
515,13.900000,grasp,True,0.600,0.050,0
516,13.900000,grasp,True,0.600,0.050,0
517,13.900000,grasp,True,0.600,0.050,0
518,13.900000,grasp,True,0.600,0.050,0
519,13.900000,grasp,True,0.600,0.050,0
520,13.900000,grasp,True,0.600,0.050,0
521,13.900000,grasp,True,0.600,0.050,0
522,13.900000,grasp,True,0.600,0.050,0
523,13.900000,grasp,True,0.600,0.050,0
524,13.900000,grasp,True,0.600,0.050,0
525,13.900000,grasp,True,0.600,0.050,0
526,13.900000,grasp,True,0.600,0.050,0
527,13.900000,grasp,True,0.600,0.050,0
528,13.900000,grasp,True,0.600,0.050,0
529,13.900000,grasp,True,0.600,0.050,0
530,13.900000,grasp,True,0.600,0.050,0
531,13.900000,grasp,True,0.600,0.050,0
532,13.900000,grasp,True,0.600,0.050,0
533,13.900000,grasp,True,0.600,0.050,0
534,13.900000,grasp,True,0.600,0.050,0
535,13.900000,grasp,True,0.600,0.050,0
536,13.900000,grasp,True,0.600,0.050,0
537,13.900000,grasp,True,0.600,0.050,0
538,13.900000,grasp,True,0.600,0.050,0
539,13.900000,grasp,True,0.600,0.050,0
540,13.900000,grasp,True,0.600,0.050,0
541,13.900000,grasp,True,0.600,0.050,0
542,13.900000,grasp,True,0.600,0.050,0
543,13.900000,grasp,True,0.600,0.050,0
544,13.900000,grasp,True,0.600,0.050,0
545,13.900000,grasp,True,0.600,0.050,0
546,13.900000,grasp,True,0.600,0.050,0
547,13.900000,grasp,True,0.600,0.050,0
548,13.900000,grasp,True,0.600,0.050,0
549,13.900000,grasp,True,0.600,0.050,0
550,13.900000,grasp,True,0.600,0.050,0
551,13.900000,grasp,True,0.600,0.050,0
552,13.900000,grasp,True,0.600,0.050,0
553,13.900000,grasp,True,0.600,0.050,0
554,13.900000,grasp,True,0.600,0.050,0
555,13.900000,grasp,True,0.600,0.050,0
556,13.900000,grasp,True,0.600,0.050,0
557,13.900000,grasp,True,0.600,0.050,0
558,13.900000,grasp,True,0.600,0.050,0
559,13.900000,grasp,True,0.600,0.050,0
560,13.900000,grasp,True,0.600,0.050,0
561,13.900000,grasp,True,0.600,0.050,0
562,13.900000,grasp,True,0.600,0.050,0
563,13.900000,grasp,True,0.600,0.050,0
564,13.900000,grasp,True,0.600,0.050,0
565,13.900000,grasp,True,0.600,0.050,0
566,13.900000,grasp,True,0.600,0.050,0
567,13.900000,grasp,True,0.600,0.050,0
568,13.900000,grasp,True,0.600,0.050,0
569,13.900000,grasp,True,0.600,0.050,0
570,13.900000,grasp,True,0.600,0.050,0
571,13.900000,grasp,True,0.600,0.050,0
572,13.900000,grasp,True,0.600,0.050,0
573,13.900000,grasp,True,0.600,0.050,0
574,13.900000,grasp,True,0.600,0.050,0
575,13.900000,grasp,True,0.600,0.050,0
576,13.900000,grasp,True,0.600,0.050,0
577,13.900000,grasp,True,0.600,0.050,0
578,13.900000,grasp,True,0.600,0.050,0
579,13.900000,grasp,True,0.600,0.050,0
580,13.900000,grasp,True,0.600,0.050,0
581,13.900000,grasp,True,0.600,0.050,0
582,13.900000,grasp,True,0.600,0.050,0
583,13.900000,grasp,True,0.600,0.050,0
584,13.900000,grasp,True,0.600,0.050,0
585,13.900000,grasp,True,0.600,0.050,0
586,13.900000,grasp,True,0.600,0.050,0
587,13.900000,grasp,True,0.600,0.050,0
588,13.900000,grasp,True,0.600,0.050,0
589,13.900000,grasp,True,0.600,0.050,0
590,13.900000,grasp,True,0.600,0.050,0
591,13.900000,grasp,True,0.600,0.050,0
592,13.900000,grasp,True,0.600,0.050,0
593,13.900000,grasp,True,0.600,0.050,0
594,13.900000,grasp,True,0.600,0.050,0
595,13.900000,grasp,True,0.600,0.050,0
596,13.900000,grasp,True,0.600,0.050,0
597,13.900000,grasp,True,0.600,0.050,0
598,13.900000,grasp,True,0.600,0.050,0
599,13.900000,grasp,True,0.600,0.050,0
600,13.900000,grasp,True,0.600,0.050,0
